"";"0";"1";"2";"3";"4";"5";"6";"7";"10"
"roman";0;13;362;238;88;16;8;1;1
"early_islamic";10;27;109;161;36;13;1;1;0
"middle_islamic";14;30;145;159;47;10;3;1;0
"early_mamluk";16;27;165;152;49;14;5;1;0
"late_mamluk";12;26;180;153;51;13;6;2;0
