"";"name_roman";"type_roman";"name_ei";"type_ei";"betRom";"betEI";"diff"
"53";"Nessana";"settlement";"Auja";"settlement";0,0790487203982101;0,0336193136472466;-0,0454294067509635
"54";"Betomolachon";"settlement";"Ruheibe";"settlement";0,0128915480919101;0,0499301675977654;0,0370386195058553
"55";"Dora";"city";"Kafr Lam";"fort";0,175765498516768;0,0667398244213887;-0,109025674095379
"56";"Legio";"fort";"Lajjun";"settlement";0,0998340791392227;0,492767358339984;0,392933279200761
"57";"Sepphoris-Diocaesarea";"city";"Saffuriya";"settlement";0,0327819397656996;0,0109736632083001;-0,0218082765573996
"58";"Gabitha";"settlement";"Jabiyah";"fort";0,0638242244456735;0,665003990422985;0,601179765977311
"59";"Kefar Nahum";"settlement";"Capernaum";"settlement";0,0417114988184424;0,00703312051077414;-0,0346783783076682
"60";"Gennesar";"settlement";"Khirbat al-Minya";"fort";0,0676353763386797;0,455207501995211;0,387572125656532
"61";"Khan Jubb Yusuf";"node";"Jubb Yusuf";"settlement";0,0609281512393786;0,467328411811652;0,406400260572273
"62";"Kadasa";"settlement";"Qadas";"settlement";0,00373070541505355;0,0125199521149242;0,00878924669987063
"63";"Aser 2";"station";"Tayasir";"settlement";0,0930665191814571;0,0842976855546688;-0,00876883362678829
"64";"Sycamina";"settlement";"al-Kanisa";"settlement";0,179828045653376;0,0723762968874701;-0,107451748765906
"65";"Khirbet Ara";"settlement";"Ara";"settlement";0,0330232791995575;0,431514365522745;0,398491086323188
"66";"Gabaon";"settlement";"al-Jib";"settlement";0,0333450651113681;0,0117218675179569;-0,0216231975934112
"67";"Beth Thamar";"settlement";"Khirbat al-Hawanit";"settlement";0,0632409874805169;0,0242418196328811;-0,0389991678476358
"68";"Caphar Ruta";"settlement";"Khirbat Kafr Lut";"settlement";0,0131429433355121;0,0198523543495611;0,00670941101404896
"69";"Gamzo";"settlement";"Jimzu";"settlement";0,0189652571773342;0,0254888268156425;0,00652356963830825
"70";"Beit Sira";"site";"Bayt SIra";"settlement";0,00455528181406808;0,0155127693535515;0,0109574875394834
"71";"Aialon";"settlement";"Yalu";"settlement";0,00761224797626829;0,0395051875498803;0,031892939573612
"72";"Khirbet Zikhrin";"settlement";"Majdal Yaba";"settlement";0,00836643370707426;0;-0,00836643370707426
"73";"Ptolemais-Ake";"city";"Akka";"city";0,259339333299814;0,271697924980048;0,012358591680234
"74";"Esbous";"settlement";"Hisban";"settlement";0,297229624415506;0,249052274541101;-0,0481773498744047
"75";"Livias";"settlement";"Bayt ar-Ram";"settlement";0,102720096535774;0,155975658419792;0,0532555618840189
"76";"Amman-Philadelpheia";"city";"Amman";"settlement";0,302348031575243;0,297535913806864;-0,00481211776837909
"77";"Gadara";"city";"Jadar";"settlement";0,0584946452813113;0,0668395849960096;0,0083449397146983
"78";"Gerasa-Antiochia ad Chrysorhoam";"city";"Jarash";"settlement";0,0221227814369752;0,0331205107741421;0,0109977293371668
"79";"Pella";"city";"Fihl";"settlement";0,0359092965961084;0,0162609736632083;-0,0196483229329001
"80";"Kapitolias";"city";"Bayt Ras";"settlement";0,057700236311529;0,068635275339186;0,010935039027657
"81";"Samaria-Sebaste";"city";"Sebastiya";"settlement";0,0301070943737744;0,0132182761372706;-0,0168888182365039
"82";"Abila";"city";"Abil";"settlement";0,00591281612951883;0;-0,00591281612951883
"83";"Qasr al-Hayr al-Sharqi";"fort";"Qasr al-Hayr ash-Sharqi";"fort";0,0211574237015436;0,078511572226656;0,0573541485251125
"84";"Palmyra";"city";"Tadmur";"settlement";0,116516667504651;0,141959297685555;0,0254426301809039
"85";"Heliaramia";"fort";"Qasr al-Hayr al-Gharbi";"fort";0,107013927296496;0,256733838786911;0,149719911490416
"86";"Ginai";"settlement";"Jinin";"settlement";0,223550706420635;0;-0,223550706420635
"87";"Humayma";"fort";"Humayma";"settlement";0,0135954547739957;0,00214485235434956;-0,0114506024196461
"88";"Adrou-Augustopolis";"fort";"Adhruh";"settlement";0,0495449746090804;0,0356145251396648;-0,0139304494694156
"89";"Arindela";"settlement";"Arandal";"settlement";0;0,000448922585794094;0,000448922585794094
"90";"Tawilan";"site";"Khirbet an-Nawaflah";"settlement";0,00425360752174569;0,0229948124501197;0,018741204928374
"91";"Areopolis";"city";"Muab";"settlement";0,210618935089748;0,106095371109338;-0,104523563980411
"92";"Characmoba";"city";"Karak";"settlement";0,200653627633365;0,0927773343974461;-0,107876293235919
