"";"dataframe";"variable";"min";"max";"mean";"median"
"1";"roman";"0.9";0,369494186954967;0,71274800853432;0,528479123533852;0,5299727036063
"2";"roman";"0.8";0,0225075111008403;0,433814496586112;0,243592439516042;0,247705557215366
"3";"roman";"0.7";-0,106336421486496;0,333733031036414;0,0839779127291232;0,0822701787530667
"4";"roman";"0.6";-0,163978207103231;0,207145741561241;0,0125260607378631;0,0121075435406551
"5";"roman";"0.5";-0,224553741460535;0,216358327651022;-0,0160149509625882;-0,0204030473568369
"6";"roman";"0.4";-0,230969890928048;0,196881876261495;-0,0214545292930904;-0,0219466771681027
"7";"roman";"0.3";-0,280668742788414;0,20671296261217;-0,0236427077465469;-0,0227124584897366
"8";"roman";"0.2";-0,430633543067454;0,264118288436458;-0,0155111977956966;-0,0160219455085602
"9";"roman";"0.1";-0,34228581721155;0,342670585117598;-0,0146364992265301;-0,0161170612376602
"10";"early_islamic";"0.9";0,408644857348761;0,826046926105486;0,615422095232302;0,618198429764587
"11";"early_islamic";"0.8";0,197090094139745;0,599934104070244;0,386871516165392;0,387769924102939
"12";"early_islamic";"0.7";0,0320104546807323;0,46657637834918;0,250967965656988;0,251587104101403
"13";"early_islamic";"0.6";-0,0838263888167474;0,423980213714481;0,168982903692037;0,169549326435705
"14";"early_islamic";"0.5";-0,161938112748619;0,37377554833862;0,128346725866233;0,125849325403899
"15";"early_islamic";"0.4";-0,153608938323833;0,408895760500043;0,095945152314575;0,0979445152779361
"16";"early_islamic";"0.3";-0,214010976066347;0,364986812808053;0,0723581962497354;0,0717666986822443
"17";"early_islamic";"0.2";-0,30012357786601;0,457085782813251;0,0514213044878637;0,0572207154988462
"18";"early_islamic";"0.1";-0,424678925697547;0,528074368545475;0,0503663178832839;0,0505402114955815
"19";"middle_islamic";"0.9";0,368114228139403;0,84732382463777;0,580804984897606;0,581763705204758
"20";"middle_islamic";"0.8";0,128084066361574;0,546517734634017;0,342492720407272;0,340338722823689
"21";"middle_islamic";"0.7";-0,0490747397490849;0,442804109554278;0,207481378690835;0,20567879526813
"22";"middle_islamic";"0.6";-0,127149606887494;0,389955045094895;0,130048671324445;0,131045371732892
"23";"middle_islamic";"0.5";-0,181536887029274;0,368593014298035;0,0924760184508889;0,0885262238779372
"24";"middle_islamic";"0.4";-0,248085208190539;0,37985266341729;0,0695186456191374;0,0709194220775591
"25";"middle_islamic";"0.3";-0,259067189806021;0,324992294238713;0,053128875832807;0,0564929155362705
"26";"middle_islamic";"0.2";-0,295119479348218;0,355873091972602;0,0293132200517874;0,0275849120099567
"27";"middle_islamic";"0.1";-0,471149561797962;0,557071048397786;0,0289173084095054;0,0239537009362499
"28";"early_mamluk";"0.9";0,305318060365697;0,761500523996553;0,545197789283811;0,547993036630172
"29";"early_mamluk";"0.8";0,0165147267883123;0,518163868027002;0,289316017985038;0,289599307663194
"30";"early_mamluk";"0.7";-0,0854545133363129;0,386518363658357;0,149126995510348;0,149815503295013
"31";"early_mamluk";"0.6";-0,162841901772693;0,313140392998583;0,0709096892666079;0,0713480887910124
"32";"early_mamluk";"0.5";-0,19281017120156;0,351574207285267;0,0299826070176255;0,0317296046183996
"33";"early_mamluk";"0.4";-0,239691389474455;0,302724741262598;0,0147509760727513;0,013930855887451
"34";"early_mamluk";"0.3";-0,318172625812004;0,345803640893967;0,00307784046720827;0,000921516989714537
"35";"early_mamluk";"0.2";-0,328987225063535;0,362718535762689;0,0106408117039676;0,0112564754347294
"36";"early_mamluk";"0.1";-0,492604194347935;0,502973149798203;0,024480762988557;0,0242209477744327
"37";"late_mamluk";"0.9";0,325774520535941;0,799526385989677;0,550556851616606;0,549644940371167
"38";"late_mamluk";"0.8";0,0352316488959535;0,549640681900794;0,300678628224811;0,300973823303505
"39";"late_mamluk";"0.7";-0,0700048745258157;0,407903515642852;0,15801539577428;0,157036264949498
"40";"late_mamluk";"0.6";-0,13015538908237;0,361794428398136;0,0833456509831371;0,0831403847262659
"41";"late_mamluk";"0.5";-0,176325780354521;0,30480594665779;0,0462675005902996;0,0463280996386045
"42";"late_mamluk";"0.4";-0,23375222043898;0,277693465300151;0,0311674557005616;0,0313554006452359
"43";"late_mamluk";"0.3";-0,238593515846348;0,320568477166285;0,0231769893014322;0,0204844925918178
"44";"late_mamluk";"0.2";-0,31338451374027;0,313612835626887;0,0212907246327233;0,023888138294893
"45";"late_mamluk";"0.1";-0,439704377931421;0,452009253062367;0,0297699254497507;0,0301196508326183
